contentid,title,addr1,category,priority,is_franchise,access_restricted_suspect,selected
2775583,346커피스토리,강원특별자치도 강릉시 창해로 348,cafe,1,N,N,Y
2891704,AURA Cafe&Lounge,강원특별자치도 강릉시 창해로 423,cafe,1,N,N,Y
3535508,HEOD(해옫) 카페,강원특별자치도 강릉시 주문진읍 주문로 102,cafe,1,N,N,
2891837,강릉커피빵 본점,강원특별자치도 강릉시 창해로350번길 29 (강문동),cafe,1,N,N,Y
3458062,강문달카페,강원특별자치도 강릉시 창해로350번길 21 (강문동),cafe,1,N,N,Y
3534594,공대카페 2호점,강원특별자치도 강릉시 지변길 16 (지변동),cafe,1,N,N,
3536756,달리는커피 포남점,강원특별자치도 강릉시 강릉대로 337-5 (포남동),cafe,1,N,N,
3534346,더카페 강릉중앙점,강원특별자치도 강릉시 중앙시장2길 19 (성남동),cafe,1,N,N,Y
3535741,도자기카페 안다미로,강원특별자치도 강릉시 구정면 구정옥봉길 175,cafe,1,N,N,
2927601,로지커피,강원특별자치도 강릉시 창해로14번길 52,cafe,1,N,N,Y
2892089,바우카페,강원특별자치도 강릉시 연곡면 해안로 1437,cafe,1,N,N,Y
3536522,베이커리가루 입암점,강원특별자치도 강릉시 월대산로 64 (입암동),cafe,1,N,N,Y
2662628,보헤미안 박이추커피,강원특별자치도 강릉시 사천면 해안로 1107,cafe,1,N,N,
2892102,보헤미안박이추커피 본점,강원특별자치도 강릉시 홍질목길 55-11,cafe,1,N,N,Y
3359671,서원커피랩,강원특별자치도 강릉시 죽헌길 167 (죽헌동),cafe,1,N,N,Y
3536808,아르카디아커피,강원특별자치도 강릉시 하평길 22 (포남동),cafe,1,N,N,
3534103,에이엠브레드앤커피,강원특별자치도 강릉시 창해로14번길 24 (견소동),cafe,1,N,N,Y
2929266,오드커피,강원특별자치도 강릉시 해안로 1597,cafe,1,N,N,Y
3534253,오미토리 커피상점 홍제동점,강원특별자치도 강릉시 토성로 22 (홍제동),cafe,1,N,N,
3535267,좋은사람커피,강원특별자치도 강릉시 주문진읍 신리천로 18,cafe,1,N,N,
2894231,초당커피,강원특별자치도 강릉시 초당순두부길77번길 20,cafe,1,N,N,Y
3548869,카페 가배초당,강원특별자치도 강릉시 난설헌로 228-35 (초당동),cafe,1,N,N,Y
2894253,카페디드,강원특별자치도 강릉시 강릉대로 340,cafe,1,N,N,
2913240,카페루아,강원특별자치도 강릉시 주문진읍 아래강정길 8-47,cafe,1,N,N,
3534416,카페소돌엔,강원특별자치도 강릉시 주문진읍 해안로 1987,cafe,1,N,N,Y
2929995,카페오션스 강릉버거,강원특별자치도 강릉시 해안로 355 (강문동),cafe,1,N,N,
2894282,카페카모메,강원특별자치도 강릉시 하슬라로206번길 3-11,cafe,1,N,N,Y
3532862,카페툇마루,강원특별자치도 강릉시 난설헌로 232 (초당동),cafe,1,N,N,Y
2818352,카페폴앤메리,강원특별자치도 강릉시 창해로350번길 33 (강문동),cafe,1,N,N,
3536357,커피다,강원특별자치도 강릉시 가작로 13 (교동),cafe,1,N,N,
3534736,커피베이 교동점,강원특별자치도 강릉시 하슬라로 179 (교동),cafe,1,N,N,
3537794,커피블럭,강원특별자치도 강릉시 성덕포남로182번길 41 (포남동),cafe,1,N,N,
3537133,커피콩빵,강원특별자치도 강릉시 창해로 351-1 (강문동),cafe,1,N,N,
3535213,커피회관,강원특별자치도 강릉시 선수촌로 134 (유천동),cafe,1,N,N,
3548864,코너카페,강원특별자치도 강릉시 연곡면 해안로 1425,cafe,1,N,N,Y
2913305,키크러스커피,강원특별자치도 강릉시 창해로14번길 48-1,cafe,1,N,N,Y
1950195,테라로사 커피공장,강원특별자치도 강릉시 구정면 현천길 25,cafe,1,N,N,Y
3538108,해안로라운지,강원특별자치도 강릉시 해안로 298-4 (강문동),cafe,1,N,N,Y
3544108,허씨커피,강원특별자치도 강릉시 창해로 285 (강문동),cafe,1,N,N,
3547805,이디야커피 강릉중앙점,강원특별자치도 강릉시 금성로 58 (금학동),cafe,2,Y,N,
3536482,이디야커피 강릉회산점,강원특별자치도 강릉시 회산로 372 (회산동),cafe,2,Y,N,
3537193,이디야커피강릉사천점,강원특별자치도 강릉시 사천면 진리해변길 68-14,cafe,2,Y,N,
3537618,컴포즈커피 강릉내곡점,강원특별자치도 강릉시 남부로17번길 39 (내곡동),cafe,2,Y,N,
3536873,컴포즈커피 강릉포남점,"강원특별자치도 강릉시 하평길 55-1 (포남동, 송정주공아파트 상가동)",cafe,2,Y,N,
3540781,강릉관광호텔,강원특별자치도 강릉시 금성로 62 (성내동),hotel,1,N,N,Y
3537703,루이스호텔(3성급),강원특별자치도 강릉시 옥가로50번길 11-1 (옥천동),hotel,1,N,N,Y
3090853,메이플비치 골프&리조트,강원특별자치도 강릉시 강동면 염전길 255,hotel,1,N,N,Y
584282,썬크루즈 호텔&리조트,강원특별자치도 강릉시 강동면 헌화로 950-39,hotel,1,N,N,Y
3372157,컨피네스 오션 스위트 호텔,강원특별자치도 강릉시 사천면 진리항구2길 5,hotel,1,N,N,Y
3532526,EZ호텔,강원특별자치도 강릉시 주문진읍 해안로 1735-1,hotel,2,N,N,
3534423,H.AVENUE 호텔,강원특별자치도 강릉시 창해로 423 (강문동),hotel,2,N,N,
2913828,SL호텔 강릉,강원특별자치도 강릉시 주문진읍 주문로 59,hotel,2,N,N,
142816,경포 비치 관광 호텔,강원특별자치도 강릉시 해안로406번길 17,hotel,2,N,N,
3540838,경포대오션호텔,강원특별자치도 강릉시 해안로406번길 13-7 (강문동),hotel,2,N,N,
2902806,그레이호텔,강원특별자치도 강릉시 하슬라로192번길 6 (교동),hotel,2,N,N,
3540330,넘버25호텔강릉역점,강원특별자치도 강릉시 옥가로 39 (옥천동),hotel,2,N,N,
2595938,더뷰티호텔,강원특별자치도 강릉시 옥천로62번길 19,hotel,2,N,N,
3083920,더홍씨호텔 강릉,강원특별자치도 강릉시 교동광장로100번길 8 (교동),hotel,2,N,N,
3542939,동아호텔,강원특별자치도 강릉시 경강로 2080 (임당동),hotel,2,N,N,
3536362,루소호텔,강원특별자치도 강릉시 교동광장로100번길 12 (교동),hotel,2,N,N,
2603352,세인트존스 호텔,강원특별자치도 강릉시 창해로 307,hotel,2,N,N,Y
3532262,썬옥 호텔,강원특별자치도 강릉시 옥계면 헌화로 189,hotel,2,N,N,
3044626,올림피아호텔,강원특별자치도 강릉시 용지각길38번길 4 (포남동),hotel,2,N,N,
3539901,욜로호텔앤펜션,강원특별자치도 강릉시 주문진읍 항구윗길 13,hotel,2,N,N,
3540971,위드호텔,강원특별자치도 강릉시 옥천로65번길 2-5 (옥천동),hotel,2,N,N,
3532579,파인시티호텔,강원특별자치도 강릉시 옥천로62번길 13 (옥천동),hotel,2,N,N,
3044649,호텔 더 샵,강원특별자치도 강릉시 동부시장길 35 (옥천동),hotel,2,N,N,
3541981,호텔 스완 (Hotel Swan),강원특별자치도 강릉시 해안로 412 (강문동),hotel,2,N,N,
3534417,호텔 큐브,강원특별자치도 강릉시 창해로 431 (강문동),hotel,2,N,N,
3540825,호텔랑,강원특별자치도 강릉시 창해로 435 (강문동),hotel,2,N,N,
3539009,호텔마레,강원특별자치도 강릉시 창해로 443 (강문동),hotel,2,N,N,
2637983,호텔메모리,강원특별자치도 강릉시 주문진읍 주문로 51-1,hotel,2,N,N,
2533423,호텔여기어때 강릉경포점,강원특별자치도 강릉시 해안로406번길 13-9 (강문동),hotel,2,N,N,
2903089,호텔이스트나인,강원특별자치도 강릉시 교동광장로100번길 8-6 (교동),hotel,2,N,N,
3540395,호텔주노,강원특별자치도 강릉시 창해로 441 (강문동),hotel,2,N,N,
kakao-1502831186,강릉SF영어도서관,강원특별자치도 강릉시 홍제로 42,library,1,N,N,
kakao-9772199,강릉모루도서관,강원특별자치도 강릉시 율곡로 2923-12,library,1,N,N,
kakao-1461505234,강릉미디어촌작은도서관,강원특별자치도 강릉시 선수촌로 23,library,1,N,N,
kakao-8171189,강릉시립중앙도서관,강원특별자치도 강릉시 강릉대로 448,library,1,N,N,Y
kakao-21814182,강릉영어작은도서관,강원특별자치도 강릉시 율곡로 2923-12,library,1,N,N,
kakao-1241639593,강릉포남꿈꾸는작은도서관,강원특별자치도 강릉시 경강로2301번길 6,library,1,N,N,
kakao-21814202,과학산업작은도서관,강원특별자치도 강릉시 과학단지로 106-11,library,1,N,N,
kakao-21814181,관아작은도서관,강원특별자치도 강릉시 경강로 2045,library,1,N,N,Y
kakao-1503364774,글마루작은도서관,강원특별자치도 강릉시 종합운동장길 19,library,1,N,N,
kakao-21814082,꿈쟁이문고,강원특별자치도 강릉시 주문진읍 신리대동길 31,library,1,N,N,
kakao-8337383,명주교육도서관,강원특별자치도 강릉시 주문진읍 해안3길 11,library,1,N,N,
kakao-651062866,모퉁이휴게실과책읽는방,강원특별자치도 강릉시 강릉대로 33,library,1,N,N,
kakao-2098331720,봄빛작은도서관,강원특별자치도 강릉시 화부산로132번길 2-5,library,1,N,N,
kakao-411263099,쁘레네작은도서관별찌,강원특별자치도 강릉시 솔올로 63,library,1,N,N,
kakao-1849047002,새냉이작은도서관,강원특별자치도 강릉시 새냉이길27번길 13-5,library,1,N,N,
kakao-1341367722,새마을문고작은도서관,강원특별자치도 강릉시 강릉대로 369-13,library,1,N,N,
kakao-7888558,성덕반딧불작은도서관,강원특별자치도 강릉시 강중길 55,library,1,N,N,Y
kakao-1422437707,스마트도서관,강원특별자치도 강릉시 솔올로 9,library,1,N,N,
kakao-1181330492,스마트도서관,강원특별자치도 강릉시 범일로 604,library,1,N,N,
kakao-21851247,스카이문고,강원특별자치도 강릉시 성덕포남로174번길 44,library,1,N,N,
kakao-21814075,열화당작은도서관,강원특별자치도 강릉시 운정길 63,library,1,N,N,
kakao-1801714530,예꿈작은도서관,강원특별자치도 강릉시 주문진읍 철둑길 9,library,1,N,N,
kakao-24623236,월대산작은도서관,강원특별자치도 강릉시 성덕포남로 80-21,library,1,N,N,
kakao-699783902,천년나무작은도서관,강원특별자치도 강릉시 강변로 58,library,1,N,N,
kakao-24623174,초당작은도서관,강원특별자치도 강릉시 연당길 116,library,1,N,N,
kakao-21732551,포남어울림작은도서관,강원특별자치도 강릉시 성덕포남로149번길 42,library,1,N,N,
kakao-21814196,한라배움터작은도서관,강원특별자치도 강릉시 강변로 114,library,1,N,N,